algoritmo,n,tipo,dominio,muestra,tiempo_ms,memoria_kb
Sort,1000,descendente,D7,a,0.003837,4280
mergeSort,1000,descendente,D7,a,0.008817,4280
quickSort,1000,descendente,D7,a,0.031919,4280
patienceSort,1000,descendente,D7,a,0.011201,4280
Sort,1000,descendente,D7,b,0.002595,4280
mergeSort,1000,descendente,D7,b,0.007874,4280
quickSort,1000,descendente,D7,b,0.030237,4280
patienceSort,1000,descendente,D7,b,0.01109,4280
Sort,1000,descendente,D7,c,0.002505,4280
mergeSort,1000,descendente,D7,c,0.007514,4280
quickSort,1000,descendente,D7,c,0.029104,4280
patienceSort,1000,descendente,D7,c,0.01097,4280
Sort,1000,aleatorio,D1,a,0.013084,4280
mergeSort,1000,aleatorio,D1,a,0.027472,4280
quickSort,1000,aleatorio,D1,a,0.022111,4280
patienceSort,1000,aleatorio,D1,a,0.025457,4280
Sort,1000,aleatorio,D1,b,0.014987,4280
mergeSort,1000,aleatorio,D1,b,0.026088,4280
quickSort,1000,aleatorio,D1,b,0.02158,4280
patienceSort,1000,aleatorio,D1,b,0.029806,4280
Sort,1000,aleatorio,D1,c,0.012914,4280
mergeSort,1000,aleatorio,D1,c,0.025418,4280
quickSort,1000,aleatorio,D1,c,0.021981,4280
patienceSort,1000,aleatorio,D1,c,0.023994,4280
Sort,1000,aleatorio,D7,a,0.022933,4280
mergeSort,1000,aleatorio,D7,a,0.034705,4280
quickSort,1000,aleatorio,D7,a,0.04825,4280
patienceSort,1000,aleatorio,D7,a,0.062727,4280
Sort,1000,aleatorio,D7,b,0.026159,4280
mergeSort,1000,aleatorio,D7,b,0.03738,4280
quickSort,1000,aleatorio,D7,b,0.050525,4280
patienceSort,1000,aleatorio,D7,b,0.080661,4280
Sort,1000,aleatorio,D7,c,0.02689,4280
mergeSort,1000,aleatorio,D7,c,0.045525,4280
quickSort,1000,aleatorio,D7,c,0.054682,4280
patienceSort,1000,aleatorio,D7,c,0.078366,4280
Sort,100000,ascendente,D1,a,0.799673,5432
mergeSort,100000,ascendente,D1,a,1.15909,5432
quickSort,100000,ascendente,D1,a,2.19159,5432
patienceSort,100000,ascendente,D1,a,1.94871,5672
Sort,100000,ascendente,D1,b,0.668988,5672
mergeSort,100000,ascendente,D1,b,0.984367,5672
quickSort,100000,ascendente,D1,b,1.53357,5672
patienceSort,100000,ascendente,D1,b,1.65462,5696
Sort,100000,ascendente,D1,c,0.563331,5696
mergeSort,100000,ascendente,D1,c,1.09024,5696
quickSort,100000,ascendente,D1,c,1.34333,5696
patienceSort,100000,ascendente,D1,c,1.37655,5696
Sort,100000,ascendente,D7,a,0.63768,5696
mergeSort,100000,ascendente,D7,a,1.67236,5824
quickSort,100000,ascendente,D7,a,3.79864,5824
patienceSort,100000,ascendente,D7,a,12.3982,12632
Sort,100000,ascendente,D7,b,0.772151,12632
mergeSort,100000,ascendente,D7,b,0.970791,12632
quickSort,100000,ascendente,D7,b,3.52871,12632
patienceSort,100000,ascendente,D7,b,9.15621,12812
Sort,100000,ascendente,D7,c,0.563772,12812
mergeSort,100000,ascendente,D7,c,0.961725,12812
quickSort,100000,ascendente,D7,c,3.74545,12812
